approvalStatus,priority,exceptionCandidate,supplier,supplierCode,category,seoMode,rrp,sku,title,slug,sourceUrl,reason,recommendedAction,approvedBy,approvedDate,notes
pending,P3,no,RAW 4x4,raw4x4,suspension-4x4-parts,standard,0.00,G6965M2,G6965M2 Shock Absorber Nitro for Great Wall Tank Tank 300 Diesel or Hybrid,g6965m2-shock-absorber-nitro-for-great-wall-tank-tank-300-diesel-or-hybrid,raw4x4.com.au,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,no,RAW 4x4,raw4x4,suspension-4x4-parts,standard,0.00,LTS846M3Y,"LTS846M3Y Shock Absorber for Chevrolet Suburban K2500, K3500 Wagon",lts846m3y-shock-absorber-for-chevrolet-suburban-k2500-k3500-wagon,raw4x4.com.au,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,no,RAW 4x4,raw4x4,suspension-4x4-parts,standard,0.00,M766K,M766K Shock Absorber for Suzuki Jimny JB74,m766k-shock-absorber-for-suzuki-jimny-jb74,raw4x4.com.au,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,no,RAW 4x4,raw4x4,suspension-4x4-parts,standard,0.00,MA964M1,"MA964M1 Shock Absorber for Toyota Hilux / N90 (travo) Gun226r, GUN227R (all Types)",ma964m1-shock-absorber-for-toyota-hilux-n90-travo-gun226r-gun227r-all-types,raw4x4.com.au,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,no,RAW 4x4,raw4x4,suspension-4x4-parts,standard,0.00,NM2501,NM2501 Shock Absorber Nitro MAX for Toyota Prado 250 Prado 250 GX GXL & Altitude (2.8ltr Turbo Diesel),nm2501-shock-absorber-nitro-max-for-toyota-prado-250-prado-250-gx-gxl-and-altitude-2-8ltr-turbo-diesel,raw4x4.com.au,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,no,RAW 4x4,raw4x4,suspension-4x4-parts,standard,0.00,NM2502,NM2502 Shock Absorber Nitro MAX for Toyota Prado 250 Prado 250 GX GXL & Altitude (2.8ltr Turbo Diesel),nm2502-shock-absorber-nitro-max-for-toyota-prado-250-prado-250-gx-gxl-and-altitude-2-8ltr-turbo-diesel,raw4x4.com.au,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,no,RAW 4x4,raw4x4,suspension-4x4-parts,standard,0.00,P1210M1,P1210M1 Shock Absorber for Dodge RAM 1500 Dsute,p1210m1-shock-absorber-for-dodge-ram-1500-dsute,raw4x4.com.au,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,no,RAW 4x4,raw4x4,suspension-4x4-parts,standard,0.00,PR1415S,PR1415S Shock Absorber Predator for Mitsubishi NEW GEN Triton 2024 MV Triton 2024 on,pr1415s-shock-absorber-predator-for-mitsubishi-new-gen-triton-2024-mv-triton-2024-on,raw4x4.com.au,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,no,RAW 4x4,raw4x4,suspension-4x4-parts,standard,0.00,PR1475,PR1475 Shock Absorber Nitro for Dodge RAM 1500 DT,pr1475-shock-absorber-nitro-for-dodge-ram-1500-dt,raw4x4.com.au,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,no,RAW 4x4,raw4x4,suspension-4x4-parts,standard,0.00,PR1475S,PR1475S Shock Absorber Nitro for Dodge RAM 1500 Dsute,pr1475s-shock-absorber-nitro-for-dodge-ram-1500-dsute,raw4x4.com.au,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,no,RAW 4x4,raw4x4,suspension-4x4-parts,standard,0.00,RSB68RL25K,RSB68RL25K Shock Absorber Nitro MAX for Toyota Landcruiser 76 Series VDJ76 Wagon (v8 Turbo Diesel),rsb68rl25k-shock-absorber-nitro-max-for-toyota-landcruiser-76-series-vdj76-wagon-v8-turbo-diesel,raw4x4.com.au,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,no,RAW 4x4,raw4x4,suspension-4x4-parts,standard,0.00,SAC768K,SAC768K Shock Absorber for Suzuki Jimny 5 Door XL 5 Door,sac768k-shock-absorber-for-suzuki-jimny-5-door-xl-5-door,raw4x4.com.au,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,no,SWD,swd,exhaust-pipes-tips,standard,0.00,11-x-6-oval-16-long-3-1-2-o-c-mega-power-stainless,11 X 6 Oval 16 Long 3 1 2 O C Mega Power Stainless,11-x-6-oval-16-long-3-1-2-o-c-mega-power-stainless,https://swd.com.au/products/11-x-6-oval-16-long-3-1-2-o-c-mega-power-stainless,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,no,SWD,swd,exhaust-pipes-tips,standard,0.00,4-1-2-round-18-long-3-c-c-perforated-stainless,4 1 2 Round 18 Long 3 C C Perforated Stainless,4-1-2-round-18-long-3-c-c-perforated-stainless,https://swd.com.au/products/4-1-2-round-18-long-3-c-c-perforated-stainless,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,no,SWD,swd,exhaust-pipes-tips,standard,0.00,8-x-5-14-long-stainless-uni-twin-loop-oval-rhs-inlet-21-2with-tip,8 X 5 14 Long Stainless UNI Twin Loop Oval RHS Inlet 21 2WITH TIP,8-x-5-14-long-stainless-uni-twin-loop-oval-rhs-inlet-21-2with-tip,https://swd.com.au/products/8-x-5-14-long-stainless-uni-twin-loop-oval-rhs-inlet-21-2with-tip,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,no,SWD,swd,exhaust-pipes-tips,standard,0.00,bmw-f-series,BMW F Series,bmw-f-series,https://swd.com.au/products/bmw-f-series,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,no,SWD,swd,exhaust-pipes-tips,standard,0.00,brink-accessories-1,Brink Accessories 1,brink-accessories-1,https://swd.com.au/products/brink-accessories-1,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,no,SWD,swd,exhaust-pipes-tips,standard,0.00,brink-accessories-housing-cover-brink,Brink Accessories Housing Cover Brink,brink-accessories-housing-cover-brink,https://swd.com.au/products/brink-accessories-housing-cover-brink,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,no,SWD,swd,exhaust-pipes-tips,standard,0.00,brink-accessories-plastic-lock-cover,Brink Accessories Plastic Lock Cover,brink-accessories-plastic-lock-cover,https://swd.com.au/products/brink-accessories-plastic-lock-cover,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,yes,SWD,swd,exhaust-pipes-tips,standard,0.00,brink-flanged-towbar-4-holes-fixed,Brink Flanged Towbar 4 Holes Fixed,brink-flanged-towbar-4-holes-fixed,https://swd.com.au/products/brink-flanged-towbar-4-holes-fixed,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,no,SWD,swd,exhaust-pipes-tips,standard,0.00,brink-towbar-chrysler-grnd-voyager-04-08-onswan-neck-fixed-2000-200,Brink Towbar Chrysler Grnd Voyager 04 08 Onswan Neck Fixed 2000 200,brink-towbar-chrysler-grnd-voyager-04-08-onswan-neck-fixed-2000-200,https://swd.com.au/products/brink-towbar-chrysler-grnd-voyager-04-08-onswan-neck-fixed-2000-200,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,no,SWD,swd,exhaust-pipes-tips,standard,0.00,falcon-ba-bf-xr6-turbo-ute-3centre-mild-steel,Falcon BA BF XR6 Turbo UTE 3CENTRE Mild Steel,falcon-ba-bf-xr6-turbo-ute-3centre-mild-steel,https://swd.com.au/products/falcon-ba-bf-xr6-turbo-ute-3centre-mild-steel,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,no,SWD,swd,exhaust-pipes-tips,standard,0.00,ford-fg-xr6-turbo-fpv-f6-sedanvarex-centre-dual-2-1-2-rear-varex-m-s,Ford FG XR6 Turbo FPV F6 Sedanvarex Centre Dual 2 1 2 Rear Varex M S,ford-fg-xr6-turbo-fpv-f6-sedanvarex-centre-dual-2-1-2-rear-varex-m-s,https://swd.com.au/products/ford-fg-xr6-turbo-fpv-f6-sedanvarex-centre-dual-2-1-2-rear-varex-m-s,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,no,SWD,swd,exhaust-pipes-tips,standard,0.00,ford-fg-xr8-sedan-2008-2011-1-3-4headers-cer-cats-twin-2-1-2-ebs,Ford FG XR8 Sedan 2008 2011 1 3 4HEADERS CER Cats Twin 2 1 2 EBS,ford-fg-xr8-sedan-2008-2011-1-3-4headers-cer-cats-twin-2-1-2-ebs,https://swd.com.au/products/ford-fg-xr8-sedan-2008-2011-1-3-4headers-cer-cats-twin-2-1-2-ebs,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,no,SWD,swd,exhaust-pipes-tips,standard,0.00,ford-fg-xr8-sedan-2008-2011-1-3-4headers-cer-cats-twin-2-1-2-ebs-1,Ford FG XR8 Sedan 2008 2011 1 3 4HEADERS CER Cats Twin 2 1 2 EBS 1,ford-fg-xr8-sedan-2008-2011-1-3-4headers-cer-cats-twin-2-1-2-ebs-1,https://swd.com.au/products/ford-fg-xr8-sedan-2008-2011-1-3-4headers-cer-cats-twin-2-1-2-ebs-1,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,no,SWD,swd,exhaust-pipes-tips,standard,0.00,fpv-fg-ute-gs-coyote-twin-3rear-section-with-oval-muffl,FPV FG UTE GS Coyote Twin 3REAR Section with Oval Muffl,fpv-fg-ute-gs-coyote-twin-3rear-section-with-oval-muffl,https://swd.com.au/products/fpv-fg-ute-gs-coyote-twin-3rear-section-with-oval-muffl,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,no,SWD,swd,exhaust-pipes-tips,standard,0.00,holden-com-ute-vt-vz-ss-headers-15-8-metallic-21-2-cats-twin-3-sedan-cat-back-m-,Holden COM UTE VT VZ SS Headers 15 8 Metallic 21 2 Cats Twin 3 Sedan CAT Back M,holden-com-ute-vt-vz-ss-headers-15-8-metallic-21-2-cats-twin-3-sedan-cat-back-m,https://swd.com.au/products/holden-com-ute-vt-vz-ss-headers-15-8-metallic-21-2-cats-twin-3-sedan-cat-back-m-s,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,no,SWD,swd,exhaust-pipes-tips,standard,0.00,holden-comdore-ve-ss-rear-left,Holden Comdore VE SS Rear Left,holden-comdore-ve-ss-rear-left,https://swd.com.au/products/holden-comdore-ve-ss-rear-left,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
pending,P3,no,SWD,swd,exhaust-pipes-tips,standard,0.00,holden-comm-ute-maloo-ute-twin-3-cat-back-system-with-varex-rear-mufflers-mild-s,Holden Comm UTE Maloo UTE Twin 3 CAT Back System with Varex Rear Mufflers Mild S,holden-comm-ute-maloo-ute-twin-3-cat-back-system-with-varex-rear-mufflers-mild-s,https://swd.com.au/products/holden-comm-ute-maloo-ute-twin-3-cat-back-system-with-varex-rear-mufflers-mild-steel,No matched ZIP image candidate or usable remote image URL,Approve placeholder only if product is a commodity/accessory row with no supplier image,,,
