approvalStatus,priority,matchType,riskLevel,supplier,supplierCode,category,rrp,sku,title,slug,sourceUid,candidateSource,candidatePath,candidateKey,candidateReason,riskNote,recommendedAction,approvedBy,approvedDate,notes
pending,P1,public-loose-sku,high,MPI Automotive,mpi,exhaust-pipes-tips,217.64,C21L,"Universal - Holden, Ford, Valiant Connecting Pipe L/Hand",c21l-universal-holden-ford-valiant-connecting-pipe-l-hand,MPI_C21L,public,public/media/parts/mpi/ssc21l250-universal-holden-falcon-valiant-lhs-con-pipe-2-1-2in-stainless-steel-1.webp,ssc21l250universalholdenfalconvaliantlhsconpipe212instainlesssteel,"Existing public media filename contains ssc21l, but is not an exact product media match.","Review manually. Suffixes, coating codes, size codes, side codes or kit variants can change the visible part.",Approve only if the candidate visibly represents the same part; otherwise request supplier media.,,,
pending,P1,public-loose-sku,high,MPI Automotive,mpi,exhaust-pipes-tips,217.64,C21L,"Universal - Holden, Ford, Valiant Connecting Pipe L/Hand",c21l-universal-holden-ford-valiant-connecting-pipe-l-hand,MPI_C21L,public,public/media/parts/mpi/ssc21l300-holden-falcon-valiant-3-lhs-con-pipe-1.webp,ssc21l300holdenfalconvaliant3lhsconpipe1,"Existing public media filename contains ssc21l, but is not an exact product media match.","Review manually. Suffixes, coating codes, size codes, side codes or kit variants can change the visible part.",Approve only if the candidate visibly represents the same part; otherwise request supplier media.,,,
pending,P1,sku-prefix-extension,high,MPI Automotive,mpi,exhaust-pipes-tips,217.64,C21L,"Universal - Holden, Ford, Valiant Connecting Pipe L/Hand",c21l-universal-holden-ford-valiant-connecting-pipe-l-hand,MPI_C21L,source-zip,parts_database/mpi_automotive/images/processed/C21L250_1.png,c21l250,Candidate key starts with c21l but has extra suffix characters.,"Review manually. Suffixes, coating codes, size codes, side codes or kit variants can change the visible part.",Approve only if the candidate visibly represents the same part; otherwise request supplier media.,,,
pending,P1,sku-prefix-extension,high,MPI Automotive,mpi,exhaust-pipes-tips,217.64,C21L,"Universal - Holden, Ford, Valiant Connecting Pipe L/Hand",c21l-universal-holden-ford-valiant-connecting-pipe-l-hand,MPI_C21L,source-zip,parts_database/mpi_automotive/images/processed/SSC21L300_1.png,ssc21l3001,Candidate key starts with ssc21l but has extra suffix characters.,"Review manually. Suffixes, coating codes, size codes, side codes or kit variants can change the visible part.",Approve only if the candidate visibly represents the same part; otherwise request supplier media.,,,
pending,P1,sku-prefix-extension,high,MPI Automotive,mpi,exhaust-pipes-tips,217.64,C21L,"Universal - Holden, Ford, Valiant Connecting Pipe L/Hand",c21l-universal-holden-ford-valiant-connecting-pipe-l-hand,MPI_C21L,source-zip,parts_database/mpi_automotive/images/raw/C21L250_1.png,c21l250,Candidate key starts with c21l but has extra suffix characters.,"Review manually. Suffixes, coating codes, size codes, side codes or kit variants can change the visible part.",Approve only if the candidate visibly represents the same part; otherwise request supplier media.,,,
pending,P1,sku-prefix-extension,high,MPI Automotive,mpi,exhaust-pipes-tips,217.64,C21L,"Universal - Holden, Ford, Valiant Connecting Pipe L/Hand",c21l-universal-holden-ford-valiant-connecting-pipe-l-hand,MPI_C21L,source-zip,parts_database/mpi_automotive/images/raw/SSC21L300_1.png,ssc21l3001,Candidate key starts with ssc21l but has extra suffix characters.,"Review manually. Suffixes, coating codes, size codes, side codes or kit variants can change the visible part.",Approve only if the candidate visibly represents the same part; otherwise request supplier media.,,,
pending,P1,public-loose-sku,high,MPI Automotive,mpi,exhaust-pipes-tips,217.64,C21R,"Universal - Holden, Ford, Valiant Connecting Pipe R/Hand",c21r-universal-holden-ford-valiant-connecting-pipe-r-hand,MPI_C21R,public,public/media/parts/mpi/ssc21r250-universal-holden-falcon-valiant-rhs-con-pipe-2-1-2in-stainless-steel-1.webp,ssc21r250universalholdenfalconvaliantrhsconpipe212instainlesssteel,"Existing public media filename contains ssc21r, but is not an exact product media match.","Review manually. Suffixes, coating codes, size codes, side codes or kit variants can change the visible part.",Approve only if the candidate visibly represents the same part; otherwise request supplier media.,,,
pending,P1,public-loose-sku,high,MPI Automotive,mpi,exhaust-pipes-tips,217.64,C21R,"Universal - Holden, Ford, Valiant Connecting Pipe R/Hand",c21r-universal-holden-ford-valiant-connecting-pipe-r-hand,MPI_C21R,public,public/media/parts/mpi/ssc21r300-holden-falcon-valiant-3-rhs-con-pipe-remote-1.webp,ssc21r300holdenfalconvaliant3rhsconpiperemote,"Existing public media filename contains ssc21r, but is not an exact product media match.","Review manually. Suffixes, coating codes, size codes, side codes or kit variants can change the visible part.",Approve only if the candidate visibly represents the same part; otherwise request supplier media.,,,
pending,P1,sku-prefix-extension,high,MPI Automotive,mpi,exhaust-pipes-tips,217.64,C21R,"Universal - Holden, Ford, Valiant Connecting Pipe R/Hand",c21r-universal-holden-ford-valiant-connecting-pipe-r-hand,MPI_C21R,source-zip,parts_database/mpi_automotive/images/processed/C21R250_1.png,c21r2501,Candidate key starts with c21r but has extra suffix characters.,"Review manually. Suffixes, coating codes, size codes, side codes or kit variants can change the visible part.",Approve only if the candidate visibly represents the same part; otherwise request supplier media.,,,
pending,P1,sku-prefix-extension,high,MPI Automotive,mpi,exhaust-pipes-tips,217.64,C21R,"Universal - Holden, Ford, Valiant Connecting Pipe R/Hand",c21r-universal-holden-ford-valiant-connecting-pipe-r-hand,MPI_C21R,source-zip,parts_database/mpi_automotive/images/raw/C21R250_1.png,c21r2501,Candidate key starts with c21r but has extra suffix characters.,"Review manually. Suffixes, coating codes, size codes, side codes or kit variants can change the visible part.",Approve only if the candidate visibly represents the same part; otherwise request supplier media.,,,
