priority,action,exceptionCandidate,supplier,supplierCode,category,seoMode,rrp,sku,sourceUid,suggestedFilenameSku,suggestedFilenameSourceUid,title,slug,sourceUrl,mainImageUrl,reason
P1,Source real supplier image before launch,no,Radius Fabrications,radius,complete-exhaust-systems,rich,3390.00,7-carbon-pod®-hid-2-light-system-70w-spot-beam,RADIUS_7-carbon-pod®-hid-2-light-system-70w-spot-beam,7-carbon-pod®-hid-2-light-system-70w-spot-beam.png,RADIUS_7-carbon-pod®-hid-2-light-system-70w-spot-beam.png,"7"" Carbon POD® HID - 2-Light System - 70W Spot Beam",7-carbon-pod-hid-2-light-system-70w-spot-beam,https://radiusfabrications.com.au/products/7-carbon-pod®-hid-2-light-system-70w-spot-beam,,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,Radius Fabrications,radius,exhaust-pipes-tips,rich,1700.00,7-carbon-pod®-hid-single-light-70w-spot-beam,RADIUS_7-carbon-pod®-hid-single-light-70w-spot-beam,7-carbon-pod®-hid-single-light-70w-spot-beam.png,RADIUS_7-carbon-pod®-hid-single-light-70w-spot-beam.png,"7"" Carbon POD® HID - Single Light - 70W Spot Beam",7-carbon-pod-hid-single-light-70w-spot-beam,https://radiusfabrications.com.au/products/7-carbon-pod®-hid-single-light-70w-spot-beam,,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,Radius Fabrications,radius,cold-air-induction,rich,980.00,stainless-snorkel-to-suit-toyota-80-series-landcruiser-short-entry-copy,RADIUS_stainless-snorkel-to-suit-toyota-80-series-landcruiser-short-entry-copy,stainless-snorkel-to-suit-toyota-80-series-landcruiser-short-entry-copy.png,RADIUS_stainless-snorkel-to-suit-toyota-80-series-landcruiser-short-entry-copy.png,Stainless Snorkel to suit Toyota 80 Series Landcruiser Short Entry - Passenger Side,stainless-snorkel-to-suit-toyota-80-series-landcruiser-short-entry-copy-stainless-snorkel-to-suit-toyota-80-series-landcruiser-short-entry-p,https://radiusfabrications.com.au/products/stainless-snorkel-to-suit-toyota-80-series-landcruiser-short-entry-copy,,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,Radius Fabrications,radius,exhaust-pipes-tips,rich,760.00,hid-ballast-replacement-12v-70w,RADIUS_hid-ballast-replacement-12v-70w,hid-ballast-replacement-12v-70w.png,RADIUS_hid-ballast-replacement-12v-70w.png,HID Ballast - Replacement - 12V - 70W,hid-ballast-replacement-12v-70w,https://radiusfabrications.com.au/products/hid-ballast-replacement-12v-70w,,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,Radius Fabrications,radius,extractors-headers,rich,700.00,copy-of-1hz-high-mount-manifold-ct26,RADIUS_copy-of-1hz-high-mount-manifold-ct26,copy-of-1hz-high-mount-manifold-ct26.png,RADIUS_copy-of-1hz-high-mount-manifold-ct26.png,High Mount Manifold to suit Toyota 1HZ Engine Variant -CT26,copy-of-1hz-high-mount-manifold-ct26-high-mount-manifold-to-suit-toyota-1hz-engine-variant-ct26,https://radiusfabrications.com.au/products/copy-of-1hz-high-mount-manifold-ct26,,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,Radius Fabrications,radius,exhaust-pipes-tips,rich,615.00,universal-wire-hider-25m-bulk,RADIUS_universal-wire-hider-25m-bulk,universal-wire-hider-25m-bulk.png,RADIUS_universal-wire-hider-25m-bulk.png,Universal Wire Hider - 25M Bulk,universal-wire-hider-25m-bulk,https://radiusfabrications.com.au/products/universal-wire-hider-25m-bulk,,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,Radius Fabrications,radius,complete-exhaust-systems,rich,580.00,c-series-rgb-multi-color-multi-use-led-6-light-system-5w-flood-beam,RADIUS_c-series-rgb-multi-color-multi-use-led-6-light-system-5w-flood-beam,c-series-rgb-multi-color-multi-use-led-6-light-system-5w-flood-beam.png,RADIUS_c-series-rgb-multi-color-multi-use-led-6-light-system-5w-flood-beam.png,C-Series RGB Multi-Color Multi-Use LED 6-Light System - 5W Flood Beam,c-series-rgb-multi-color-multi-use-led-6-light-system-5w-flood-beam,https://radiusfabrications.com.au/products/c-series-rgb-multi-color-multi-use-led-6-light-system-5w-flood-beam,,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,Radius Fabrications,radius,complete-exhaust-systems,rich,495.00,2-c-series-c2-led-2-light-system-backup-20w-flood-beam,RADIUS_2-c-series-c2-led-2-light-system-backup-20w-flood-beam,2-c-series-c2-led-2-light-system-backup-20w-flood-beam.png,RADIUS_2-c-series-c2-led-2-light-system-backup-20w-flood-beam.png,"2"" C-Series C2 LED - 2-Light System - Backup - 20W Flood Beam",2-c-series-c2-led-2-light-system-backup-20w-flood-beam,https://radiusfabrications.com.au/products/2-c-series-c2-led-2-light-system-backup-20w-flood-beam,,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,Radius Fabrications,radius,complete-exhaust-systems,rich,470.00,2-c-series-c2-led-2-light-system-20w-flood-beam,RADIUS_2-c-series-c2-led-2-light-system-20w-flood-beam,2-c-series-c2-led-2-light-system-20w-flood-beam.png,RADIUS_2-c-series-c2-led-2-light-system-20w-flood-beam.png,"2"" C-Series C2 LED - 2-Light System - 20W Flood Beam",2-c-series-c2-led-2-light-system-20w-flood-beam,https://radiusfabrications.com.au/products/2-c-series-c2-led-2-light-system-20w-flood-beam,,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,Radius Fabrications,radius,exhaust-pipes-tips,rich,435.00,7-h4-dot-halogen-headlights-driving-beam-pair-07-18-jeep-jk,RADIUS_7-h4-dot-halogen-headlights-driving-beam-pair-07-18-jeep-jk,7-h4-dot-halogen-headlights-driving-beam-pair-07-18-jeep-jk.png,RADIUS_7-h4-dot-halogen-headlights-driving-beam-pair-07-18-jeep-jk.png,"7"" H4 DOT Halogen Headlights - Driving Beam - Pair - 07-18 Jeep JK",7-h4-dot-halogen-headlights-driving-beam-pair-07-18-jeep-jk,https://radiusfabrications.com.au/products/7-h4-dot-halogen-headlights-driving-beam-pair-07-18-jeep-jk,,No matched ZIP image candidate or usable remote image URL
